"Name","Korean","English","Japanese","SimplifiedChinese","Spanish","Russian","PortugueseBrazil","German","French","Polish","TraditionalChinese","Turkish"
"Common.Settings","게임 설정","Game settings","ゲーム設定","游戏设置","Ajustes del juego","Настройки игры","Configurações","Spieleinstellungen","Paramètres du jeu","Ustawienia gry","遊戲設定","Oyun ayarları"
"Common.Volume","음량","Volume","音量","音量","Volumen","Громкость","Volume","Lautstärke","Volume","Głośność","音量","Ses düzeyi"
"Common.Mute","음소거 전환","Toggle mute","ミュート切替","切换静音","Activar o desactivar sonido","Включить или выключить звук","Ativar ou desativar som","Stumm ein/aus","Activer ou couper le son","Włącz lub wycisz dźwięk","切換靜音","Sesi aç/kapat"
"Common.Close","닫기","Close","閉じる","关闭","Cerrar","Закрыть","Fechar","Schließen","Fermer","Zamknij","關閉","Kapat"
"Common.Back","돌아가기","Back","戻る","返回","Volver","Назад","Voltar","Zurück","Retour","Wstecz","返回","Geri"
"Common.Done","완료","Done","完了","完成","Listo","Готово","Concluir","Fertig","Terminé","Gotowe","完成","Tamam"
"Title.QuickMatch","빠른 매칭","Quick match","クイックマッチ","快速匹配","Partida rápida","Быстрый матч","Partida rápida","Schnelles Spiel","Partie rapide","Szybka gra","快速配對","Hızlı maç"
"Title.QuickHint","바로 전투에 참여하세요","Jump into the battle","今すぐバトルに参加","立即加入战斗","Entra en combate","Вступайте в бой","Entre na batalha","Stürz dich in den Kampf","Entrez dans la bataille","Dołącz do walki","立即加入戰鬥","Hemen savaşa katıl"
"Title.RoomList","방 목록","Room list","ルーム一覧","房间列表","Lista de salas","Список комнат","Lista de salas","Raumliste","Liste des salons","Lista pokoi","房間列表","Oda listesi"
"Title.Training","훈련장","Training","トレーニング","训练场","Entrenamiento","Тренировка","Treinamento","Training","Entraînement","Trening","訓練場","Antrenman"
"Title.Shop","상점","Shop","ショップ","商店","Tienda","Магазин","Loja","Shop","Boutique","Sklep","商店","Mağaza"
"Title.Guide","가이드","Guide","ガイド","指南","Guía","Руководство","Guia","Anleitung","Guide","Poradnik","指南","Rehber"
"Title.Records","전적","Records","戦績","战绩","Estadísticas","Статистика","Estatísticas","Statistik","Statistiques","Statystyki","戰績","İstatistikler"
"Title.Exit","종료","Exit","終了","退出","Salir","Выход","Sair","Beenden","Quitter","Wyjdź","結束","Çıkış"
"Lobby.Title","대기실","Lobby","ロビー","大厅","Sala","Лобби","Sala","Lobby","Salon","Poczekalnia","大廳","Lobi"
"Lobby.Participants","참가자","Players","参加者","玩家","Jugadores","Игроки","Jogadores","Spieler","Joueurs","Gracze","玩家","Oyuncular"
"Lobby.MapSelect","맵 선택","Map selection","マップ選択","选择地图","Selección de mapa","Выбор карты","Seleção de mapa","Kartenauswahl","Choix de la carte","Wybór mapy","選擇地圖","Harita seçimi"
"Lobby.Invite","친구 초대","Invite friends","フレンドを招待","邀请好友","Invitar amigos","Пригласить друзей","Convidar amigos","Freunde einladen","Inviter des amis","Zaproś znajomych","邀請好友","Arkadaş davet et"
"Lobby.Return","로비로 돌아가기","Return to lobby","ロビーに戻る","返回大厅","Volver a la sala","Вернуться в лобби","Voltar à sala","Zurück zur Lobby","Retour au salon","Wróć do poczekalni","返回大廳","Lobiye dön"
"Lobby.Start","게임 시작","Start game","ゲーム開始","开始游戏","Iniciar partida","Начать игру","Iniciar partida","Spiel starten","Lancer la partie","Rozpocznij grę","開始遊戲","Oyunu başlat"
"Lobby.Leave","나가기","Leave","退出","离开","Abandonar","Выйти","Sair","Verlassen","Quitter","Opuść","離開","Ayrıl"
"Lobby.PreviousMap","이전 맵","Previous map","前のマップ","上一张地图","Mapa anterior","Предыдущая карта","Mapa anterior","Vorherige Karte","Carte précédente","Poprzednia mapa","上一張地圖","Önceki harita"
"Lobby.NextMap","다음 맵","Next map","次のマップ","下一张地图","Mapa siguiente","Следующая карта","Próximo mapa","Nächste Karte","Carte suivante","Następna mapa","下一張地圖","Sonraki harita"
"Lobby.TeamWarning","팀 인원을 균등하게 맞춰 주세요","Balance the number of players on each team","各チームの人数を揃えてください","请平衡各队人数","Iguala el número de jugadores por equipo","Уравняйте число игроков в командах","Equilibre o número de jogadores por equipe","Verteilt die Spieler gleichmäßig auf die Teams","Équilibrez le nombre de joueurs par équipe","Wyrównaj liczbę graczy w drużynach","請平衡各隊人數","Takımlardaki oyuncu sayılarını eşitleyin"
"Lobby.LoadFailed","로비를 불러오지 못했습니다. 나간 뒤 다시 입장해 주세요.","Lobby content failed to load. Leave and rejoin the room.","ロビーの読み込みに失敗しました。退出して再入室してください。","大厅内容加载失败，请离开后重新加入。","No se pudo cargar la sala. Sal y vuelve a entrar.","Не удалось загрузить лобби. Выйдите и зайдите снова.","Falha ao carregar a sala. Saia e entre novamente.","Lobby konnte nicht geladen werden. Verlasse den Raum und tritt erneut bei.","Échec du chargement du salon. Quittez-le puis rejoignez-le à nouveau.","Nie udało się wczytać poczekalni. Wyjdź i dołącz ponownie.","大廳內容載入失敗，請離開後重新加入。","Lobi yüklenemedi. Odadan ayrılıp tekrar katılın."
"Map.WindNest","바람 둥지","Wind Nest","風の巣","风之巢","Nido del Viento","Гнездо ветра","Ninho do Vento","Windnest","Nid du Vent","Gniazdo Wiatru","風之巢","Rüzgâr Yuvası"
"Map.Village","마을","Village","村","村庄","Aldea","Деревня","Vila","Dorf","Village","Wioska","村莊","Köy"
"Map.Test","테스트 맵","Test map","テストマップ","测试地图","Mapa de prueba","Тестовая карта","Mapa de teste","Testkarte","Carte de test","Mapa testowa","測試地圖","Test haritası"
"Guide.Categories","목차","Categories","目次","目录","Categorías","Разделы","Categorias","Kategorien","Catégories","Kategorie","目錄","Kategoriler"
"Guide.QuickStart","빠른 시작","Quick start","クイックスタート","快速入门","Inicio rápido","Быстрый старт","Início rápido","Schnellstart","Démarrage rapide","Szybki start","快速入門","Hızlı başlangıç"
